rpm,voltage,statorCurrent,supplyCurrent,closedLoopError,distance,made,missAmount,pressDuration,shotsInBurst
4095.0,0.0,0.0,0.0,4095.0,4.68498820641559,true,0.2,0.0,0
4095.0,0.0,0.0,0.0,4095.0,5.0214946475466995,true,0.0,0.0,0
4095.0,0.0,0.0,0.0,4095.0,4.823569032042701,true,0.0,0.0,0
4095.0,0.0,0.0,0.0,4095.0,4.823569032042701,true,0.0,0.0,0
4095.0,0.0,0.0,0.0,4095.0,5.414863247428113,true,-0.2,0.0,0
4095.0,0.0,0.0,0.0,4095.0,5.414863247428113,true,-0.2,0.0,0
4095.0,0.0,0.0,0.0,4095.0,7.743611447563573,false,-1.0,0.0,0
3500.0,0.0,0.0,0.0,3500.0,5.009378559175879,false,-0.3,0.0,0
3500.0,0.0,0.0,0.0,3500.0,4.598305643779091,true,-0.2,0.0,0
3500.0,0.0,0.0,0.0,3500.0,4.403031831033413,true,0.0,0.0,0
3500.0,0.0,0.0,0.0,3500.0,4.243560610466066,true,0.0,0.0,0
3500.0,0.0,0.0,0.0,3500.0,4.003890484730059,true,0.2,0.0,0
3500.0,0.0,0.0,0.0,3500.0,3.5956967386017102,true,0.2,0.0,0
3500.0,0.0,0.0,0.0,3500.0,1.167044231760373,false,1.0,0.0,0
3500.0,0.0,0.0,0.0,3500.0,3.3445337604250653,false,0.3,0.0,0
3500.0,0.0,0.0,0.0,3500.0,3.730290889002597,true,0.2,0.0,0
3500.0,0.0,0.0,0.0,3500.0,3.957690635336826,true,0.0,0.0,0
3500.0,0.0,0.0,0.0,3500.0,4.300631450984254,true,0.0,0.0,0
3500.0,0.0,0.0,0.0,3500.0,4.986588595210209,false,-0.3,0.0,0
3500.0,0.0,0.0,0.0,3500.0,4.812190564584873,true,-0.2,0.0,0
3500.0,0.0,0.0,0.0,3500.0,7.892688743413764,false,-1.0,0.0,0
3000.0,0.0,0.0,0.0,3000.0,4.582658616507768,false,-0.3,0.0,0
3000.0,0.0,0.0,0.0,3000.0,3.7189896610277784,true,0.0,0.0,0
3000.0,0.0,0.0,0.0,3000.0,3.7189715947270385,true,0.0,0.0,0
3000.0,0.0,0.0,0.0,3000.0,3.7189715947270385,true,0.0,0.0,0
3000.0,0.0,0.0,0.0,3000.0,3.388539477018193,true,0.2,0.0,0
